17;"Kelly O'Briant";"RStudio Connect 1.8.6";"2020-12-16"
17;"Kelly O'Briant";"RStudio Connect 1.8.6 - Administrator Digest";"2020-12-16"
17;"Kelly O'Briant";"RStudio Connect 1.8.6 - Deployment API";"2020-12-16"
17;"Kelly O'Briant";"RStudio Connect 1.8.6 - Python Update";"2020-12-16"
17;"Kelly O'Briant";"RStudio Connect 1.8.6 - Server API";"2020-12-16"
17;"Carl Howe";"Announcing the 2020 R Community Survey";"2020-12-11"
17;"Alison Hill and JJ Allaire";"(Re-)introducing Distill for R Markdown";"2020-12-07"
18;"Garrett Grolemund";"The R Markdown Cheat Sheet";"2014-08-01"
18;"Hadley Wickham";"httr 0.4";"2014-07-31"
18;"Roger Oberg";"Announcing Shiny Server Pro 1.2";"2014-07-24"
18;"Hadley Wickham";"New data packages";"2014-07-23"
18;"Kevin Ushey";"Announcing Packrat v0.4";"2014-07-22"
18;"Hadley Wickham";"Introducing tidyr";"2014-07-22"
18;"Garrett Grolemund";"Master interactive documents at the Shiny Dev Center";"2014-07-21"
18;"Roger Oberg";"RStudio presents Essential Tools for Data Science with R";"2014-07-16"
18;"Garrett Grolemund";"R Day at Strata NYC";"2014-07-08"
18;"Garrett Grolemund";"Shiny cheat sheet";"2014-06-30"
19;"Sean Lopp";"RStudio Package Manager 1.2.0 - Bioconductor & PyPI ";"2020-12-07"
19;"Jonathan McPherson";"RStudio v1.4 Preview: The Little Things";"2020-12-02"
19;"Julia Silge and Jen Hecht";"rstudio::global(2021) Diversity Scholarships";"2020-11-30"
19;"Carl Howe";"Custom Google Analytics Dashboards with R: Downloading Data";"2020-11-27"
19;"Daniel Petzold and Carl Howe";"How California Uses Shiny in Production to Fight COVID-19";"2020-11-19"
19;"Lou Bajuk, Carl Howe";"Why RStudio Focuses on Code-Based Data Science";"2020-11-17"
19;"Karl Feinauer";"RStudio 1.4 Preview: New Features in RStudio Server Pro";"2020-11-16"
19;"Lou Bajuk, RStudio";"Where Does RStudio Fit into Your Cloud Strategy?";"2020-11-12"
19;"Samantha Toet";"The Appsilon shiny.semantic PoContest";"2020-11-10"
19;"JJ Allaire";"RStudio 1.4 Preview: Citations";"2020-11-09"
20;"Roger Oberg";"Meet us at R Day and at the Strata+Hadoop World NYC Oct 15-17, 2014";"2014-09-30"
20;"Garrett Grolemund";"Data management with ShinyApps.io";"2014-09-29"
20;"Garrett Grolemund";"Registration now open for Master R Developer workshop in San Francisco";"2014-09-29"
20;"Hadley Wickham";"testthat 0.9";"2014-09-23"
20;"Garrett Grolemund";"Track how visitors use your Shiny app with Google Analytics";"2014-09-08"
20;"Kevin Ushey";"Packrat on CRAN";"2014-09-05"
20;"Hadley Wickham";"httr 0.5";"2014-09-03"
20;"Garrett Grolemund";"Master R Developer Workshop - San Francisco, January 19-20";"2014-08-11"
20;"Roger Oberg";"Come see RStudio at JSM in Boston";"2014-08-01"
20;"Yihui Xie";"Shiny 0.10.1";"2014-08-01"
21;"Adam Conroy";"RStudio 1.4 Preview: Rainbow Parentheses";"2020-11-04"
21;"Rich Iannone and Curtis Kephart ";"2020 Table Contest Deadline Extended";"2020-10-30"
21;"Carl Howe";"Why RStudio Supports Python for Data Science";"2020-10-30"
21;"Melissa Barca";"RStudio 1.4 Preview: Multiple Source Columns";"2020-10-21"
21;"Rob Hewardt";"rstudio::global(2021)";"2020-10-16"
21;"Jonathan McPherson";"RStudio v1.4 Preview: Command Palette";"2020-10-14"
21;"Art Steinmetz, former Chairman, CEO and President of OppenheimerFunds";"Open Source Data Science in Investment Management";"2020-10-13"
21;"Andy Nicholls, Michael Rimler";"Using R to Drive Agility in Clinical Reporting: Questions and Answers";"2020-10-08"
21;"Kevin Ushey";"RStudio v1.4 Preview: Python Support";"2020-10-07"
21;"J.J. Allaire";"RStudio v1.4 Preview: Visual Markdown Editing";"2020-09-30"
22;"Hadley Wickham";"httr 0.6.0";"2014-12-14"
22;"Hadley Wickham";"tidyr 0.2.0 (and reshape2 1.4.1)";"2014-12-08"
22;"Hadley Wickham";"magrittr 1.5";"2014-12-01"
22;"Hadley Wickham";"rvest: easy web scraping with R";"2014-11-24"
22;"Garrett Grolemund";"Introduction to Data Science with R video workshop";"2014-11-06"
22;"Hadley Wickham";"RSQLite 1.0.0";"2014-10-25"
22;"Hadley Wickham";"dplyr 0.3";"2014-10-13"
22;"Winston Chang";"ggvis 0.4";"2014-10-13"
22;"Yihui Xie";"Shiny 0.10.2";"2014-10-02"
22;"Hadley Wickham";"devtools 1.6";"2014-10-02"
23;"The RStudio Multiverse Team";"Introducing torch for R";"2020-09-29"
23;"Lou Bajuk";"RStudio Named Strong Performer in the Forrester Wave™: Notebook-Based Predictive Analytics and Machine Learning, Q3 2020";"2020-09-25"
23;"Carl Howe";"Ease Uncertainty by Boosting Your Data Science Team's Skills";"2020-09-23"
23;"Daniel Petzold, Carl Howe";"Learning Data Science with RStudio Cloud: A Student's Perspective";"2020-09-17"
23;"Rich Iannone and Curtis Kephart";"Announcing the 2020 RStudio Table Contest";"2020-09-15"
23;"Samantha Toet and Carl Howe";"Debunking R and Python Myths: Answering Your Questions";"2020-09-10"
23;"Carl Howe";"3 Fun Shiny Apps for Your Long Labor Day Weekend";"2020-09-04"
23;"Carl Howe";"3 Ways to Expand Your Data Science Compute Resources";"2020-08-27"
23;"Mike Garcia, ProCogia";"Why Package and Environment Management is Critical for Serious Data Science";"2020-08-20"
23;"Curtis Kephart and Lou Bajuk";"R and RStudio - The Interoperability Environment for Data Analytics";"2020-08-17"
24;"Roger Oberg";"RStudio - Infoworld 2015 Technology of the Year Award Recipient!";"2015-01-28"
24;"Roger Oberg";"Register now for RStudio Shiny Workshops in D.C., New York, Boston, L.A., San Francisco and Seattle";"2015-01-28"
24;"Winston Chang";"Shiny 0.11, themes, and dashboard";"2015-01-23"
24;"Roger Oberg";"Balancing the Load | What's New in RStudio Server Pro?";"2015-01-13"
24;"Hadley Wickham";"RMySQL 0.10.0";"2015-01-09"
24;"Hadley Wickham";"dplyr 0.4.0";"2015-01-09"
24;"Hadley Wickham";"ggplot2 updates";"2015-01-09"
24;"Roger Oberg";"Announcing shinyapps.io beta";"2015-01-06"
24;"Roger Oberg";"Hadley Wickham Master R Developer Workshop - Space Limited";"2014-12-23"
24;"RStudio Team";"htmlwidgets: JavaScript data visualization for R";"2014-12-18"
25;"Dan Chen, Lander Analytics";"How to Deliver Maximum Value Using R & Python";"2020-08-13"
25;"Hadley Wickham";"rstudio::global() talk deadline extension";"2020-08-13"
25;"Lou Bajuk";"Do, Share, Teach, and Learn Data Science with RStudio Cloud";"2020-08-05"
25;"Samantha Toet";"RStudio Adds New R Features in Qubole's Open Data Lake";"2020-08-03"
25;"Carl Howe";"3 Wild-Caught R and Python Applications";"2020-07-28"
25;"Krystian Igras, Appsilon Data Science";"4 Tips to Make Your Shiny Dashboard Faster";"2020-07-21"
25;"Hadley Wickham";"rstudio::global() call for talks";"2020-07-17"
25;"Hadley Wickham";"rstudio::global(2021)";"2020-07-17"
